station_id,station_name,from_date,to_date,lat,lon,TMK_latest_date,TMK_latest_value,TNK_latest_date,TNK_latest_value,TXK_latest_date,TXK_latest_value,UPM_latest_date,UPM_latest_value
03591,Nideggen-Schmidt,19940101,20250616,50.6743,6.4240,20250616,17.5,20250616,10.1,20250616,22.9,20250616,67.17
03603,Niederstetten,20000701,20250616,49.3895,9.9666,20250616,16.7,,,,,20250616,70.96
03612,Nienburg,19470101,20250616,52.6711,9.2229,20250616,16.9,20250616,10.4,20250616,22.8,20250616,75.50
03621,Reimlingen,19470101,20250616,48.8253,10.5067,20250616,17.0,20250616,12.9,20250616,21.9,20250616,74.46
03623,Nörvenich-Niederbolheim,19690101,20250616,50.8294,6.6601,20250616,19.0,,,,,20250616,62.50
03631,Norderney,18580301,20250616,53.7123,7.1519,20250616,16.5,20250616,15.0,20250616,18.3,20250616,80.50
03639,Nordholz-Wanhöden,19740101,20250616,53.7647,8.6584,20250616,16.3,,,,,20250616,79.13
03660,Nürburg-Barweiler,19950301,20250616,50.3602,6.8697,20250616,16.3,20250616,10.3,20250616,21.7,20250616,66.75
03667,Nürnberg-Netzstall,19750101,20250616,49.4258,11.2539,20250616,17.2,20250616,10.1,20250616,23.0,20250616,69.42
03668,Nürnberg,18790101,20250616,49.5030,11.0549,20250616,18.6,20250616,11.9,20250616,23.3,20250616,61.33
03679,Kiefersfelden-Gach,19470101,20250616,47.6187,12.1665,20250616,15.8,20250616,12.9,20250616,18.8,20250616,85.46
03730,Oberstdorf,19100101,20250616,47.3984,10.2759,20250616,14.8,20250616,9.5,20250616,19.5,20250616,82.08
03734,Obersulm-Willsbach,20040701,20250616,49.1280,9.3525,20250616,18.7,20250616,12.5,20250616,24.7,20250616,72.79
03739,Oberviechtach,19481001,20250616,49.4521,12.4365,20250616,15.5,20250616,11.1,20250616,20.5,20250616,79.46
03761,Öhringen,19470101,20250616,49.2070,9.5176,20250616,18.6,20250616,13.0,20250616,23.8,20250616,70.08
03811,Oschatz,19411001,20250616,51.2960,13.0928,20250616,17.3,20250616,13.8,20250616,21.9,20250616,71.83
03821,Osterfeld,19840801,20250616,51.0872,11.9293,20250616,17.0,20250616,13.3,20250616,21.7,20250616,74.75
03836,Ostheim,19720501,20250616,50.4538,10.2211,20250616,17.3,20250616,9.1,20250616,22.9,20250616,67.17
03857,Oy-Mittelberg-Petersthal,19931001,20250616,47.6362,10.3892,20250616,13.9,20250616,9.7,20250616,18.6,20250616,83.38
03875,Parsberg/Oberpfalz-Eglwang,19500101,20250616,49.1510,11.6897,20250616,16.7,20250616,11.5,20250616,22.1,20250616,72.79
03897,Pelzerhaken,19980101,20250616,54.0893,10.8773,20250616,17.2,20250616,13.6,20250616,21.7,20250616,72.00
03904,Perl-Nennig,19650101,20250616,49.5354,6.3789,20250616,18.0,20250616,9.7,20250616,25.2,20250616,70.75
